Time (ms),-100 pA,50 pA,75 pA,100 pA
121.77822177822176,-97.7691650390625,-80.4779052734375,-76.1138916015625,-71.6522216796875
121.8115218115218,-97.735595703125,-80.4779052734375,-76.0498046875,-71.697998046875
121.84482184482184,-97.7142333984375,-80.5145263671875,-76.055908203125,-71.6552734375
121.87812187812186,-97.7386474609375,-80.6182861328125,-76.129150390625,-71.636962890625
121.9114219114219,-97.8057861328125,-80.55419921875,-76.1077880859375,-71.5972900390625
121.94472194472193,-97.8485107421875,-80.5206298828125,-76.0833740234375,-71.600341796875
121.97802197802197,-97.79052734375,-80.438232421875,-76.01318359375,-71.6278076171875
122.011322011322,-97.75390625,-80.43212890625,-76.06201171875,-71.6094970703125
122.04462204462203,-97.7386474609375,-80.4443359375,-76.043701171875,-71.61865234375
122.07792207792207,-97.8179931640625,-80.462646484375,-76.104736328125,-71.54541015625
122.1112221112221,-97.8271484375,-80.48095703125,-76.0894775390625,-71.5301513671875
122.14452214452213,-97.8302001953125,-80.43212890625,-76.0589599609375,-71.4874267578125
122.17782217782216,-97.7874755859375,-80.4443359375,-76.025390625,-71.5240478515625
122.2111222111222,-97.7783203125,-80.426025390625,-75.982666015625,-71.539306640625
122.24442224442222,-97.821044921875,-80.5145263671875,-76.0040283203125,-71.5118408203125
122.27772227772226,-97.8607177734375,-80.5389404296875,-75.98876953125,-71.4080810546875
122.3110223110223,-97.906494140625,-80.4840087890625,-75.958251953125,-71.4019775390625
122.34432234432234,-97.882080078125,-80.48095703125,-75.91552734375,-71.4080810546875
122.37762237762236,-97.857666015625,-80.4412841796875,-75.909423828125,-71.4447021484375
122.4109224109224,-97.8179931640625,-80.3955078125,-75.9124755859375,-71.39892578125
122.44422244422243,-97.8607177734375,-80.419921875,-75.927734375,-71.3653564453125
122.47752247752247,-97.882080078125,-80.43212890625,-75.927734375,-71.295166015625
122.51082251082249,-97.8973388671875,-80.419921875,-75.9613037109375,-71.2860107421875
122.54412254412253,-97.882080078125,-80.377197265625,-75.8636474609375,-71.307373046875
122.57742257742257,-97.8485107421875,-80.377197265625,-75.8544921875,-71.3348388671875
122.6107226107226,-97.8607177734375,-80.340576171875,-75.8392333984375,-71.3409423828125
122.64402264402263,-97.88818359375,-80.4290771484375,-75.897216796875,-71.343994140625
122.67732267732266,-97.91259765625,-80.4107666015625,-75.897216796875,-71.2310791015625
122.7106227106227,-97.8912353515625,-80.4229736328125,-75.8575439453125,-71.2188720703125
122.74392274392274,-97.8546142578125,-80.377197265625,-75.8331298828125,-71.20361328125
122.77722277722276,-97.857666015625,-80.3009033203125,-75.7598876953125,-71.209716796875
122.8105228105228,-97.8759765625,-80.303955078125,-75.8056640625,-71.246337890625
122.84382284382284,-97.8973388671875,-80.2978515625,-75.799560546875,-71.17919921875
122.87712287712286,-97.8912353515625,-80.35888671875,-75.836181640625,-71.1456298828125
122.9104229104229,-97.9034423828125,-80.3314208984375,-75.81787109375,-71.087646484375
122.94372294372293,-97.8607177734375,-80.3253173828125,-75.7843017578125,-71.0662841796875
122.97702297702297,-97.894287109375,-80.26123046875,-75.7354736328125,-71.0601806640625
123.01032301032299,-97.9400634765625,-80.2703857421875,-75.69580078125,-71.099853515625
123.04362304362303,-97.967529296875,-80.2886962890625,-75.726318359375,-71.0693359375
